Statistischer Bezirk;Horte (cls:L606)
227;0
622;4
921;0
132;0
764;0
862;4
763;0
559;0
214;0
615;0
568;0
991;4
768;0
865;0
554;0
061;0
211;0
254;0
541;0
477;0
842;0
735;0
998;0
931;4
963;4
145;4
242;0
773;0
964;0
522;4
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;0
318;0
813;8
832;0
924;0
454;4
985;0
861;0
851;0
815;0
577;0
313;0
363;0
818;0
742;0
451;0
215;0
226;0
558;0
052;4
755;4
916;0
131;0
765;0
774;0
032;0
036;4
353;8
076;0
241;4
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;4
825;0
569;0
312;0
364;0
624;0
221;0
904;0
455;0
986;4
072;0
852;0
935;0
901;4
754;0
766;4
743;0
819;0
844;4
737;0
475;0
543;0
936;0
212;8
961;0
993;0
824;0
352;0
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;0
556;0
053;4
905;0
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;0
311;0
833;0
902;0
321;0
538;0
925;4
472;0
736;0
141;4
867;0
995;0
951;4
915;0
955;0
033;4
853;4
223;0
452;0
077;0
823;0
983;4
247;0
752;0
817;0
331;0
441;0
213;4
063;4
611;0
545;4
922;0
992;0
351;0
966;0
731;0
514;4
111;0
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;4
994;0
315;8
054;0
361;0
715;0
906;0
621;0
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;8
134;4
256;0
761;0
923;0
933;0
997;0
143;0
866;4
555;4
914;0
034;4
062;0
733;0
811;0
863;0
714;4
516;4
113;0
821;4
909;0
762;8
471;4
771;0
246;0
757;0
579;0
623;0
224;0
133;0
932;0
996;0
243;0
967;0
314;4
055;0
362;4
984;0
907;0
257;8
476;0
834;4
614;0
843;0
953;0
071;8
732;0
112;0
332;0
756;0
962;0
812;0
981;4
232;0
035;0
644;0
643;0
122;4
978;0
511;0
721;0
414;0
524;0
114;0
726;0
342;0
572;0
563;0
428;4
233;0
975;0
123;8
972;0
421;4
533;0
151;0
115;4
973;0
723;0
422;0
041;0
958;0
252;0
944;4
722;0
525;0
612;0
642;0
513;0
561;0
571;4
121;4
431;0
253;4
945;4
544;0
069;0
613;4
641;4
724;0
971;4
532;0
043;0
946;0
153;12
068;0
341;0
512;0
117;0
152;0
515;0
116;0
518;0
531;4
042;0
427;0
631;0
234;8
025;0
434;0
977;0
011;0
426;0
045;0
632;8
435;0
954;0
453;0
012;0
411;0
066;0
976;0
551;4
354;0
566;4
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;0
741;4
941;0
713;0
322;4
075;0
618;0
727;4
024;0
536;4
633;4
031;0
567;4
839;0
526;0
424;0
047;0
913;0
412;4
065;0
249;0
432;4
574;0
831;0
942;0
462;0
323;4
956;4
619;4
728;0
023;0
553;0
634;0
564;0
974;0
535;0
712;4
912;4
413;0
064;0
046;4
646;0
022;0
527;0
248;0
433;0
461;0
573;0
124;4
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;0
231;0
562;0
429;0
