Statistischer Bezirk;Bodenleitwerte (cls:L295)
227;0
622;0
921;4
132;8
764;4
862;0
763;0
559;0
214;4
615;0
568;0
991;0
768;0
865;0
554;0
061;4
211;0
254;4
541;0
477;0
842;0
735;0
998;0
931;4
963;0
145;0
242;0
773;0
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;4
244;4
051;0
318;0
813;4
832;0
924;0
454;0
985;4
861;8
851;0
815;0
577;0
313;0
363;0
818;0
742;4
451;0
215;0
226;4
558;0
052;0
755;4
916;0
131;16
765;0
774;4
032;0
036;4
353;0
076;0
241;0
982;0
864;0
868;4
255;0
474;0
542;0
146;0
845;4
317;0
769;0
952;0
557;0
772;4
356;0
465;0
734;0
825;0
569;0
312;4
364;0
624;0
221;4
904;0
455;0
986;0
072;4
852;4
935;0
901;0
754;0
766;0
743;4
819;0
844;0
737;0
475;0
543;0
936;0
212;4
961;0
993;0
824;0
352;0
753;0
816;0
078;0
316;0
767;0
911;4
523;0
965;0
556;0
053;0
905;0
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;4
311;0
833;0
902;0
321;0
538;0
925;4
472;0
736;0
141;4
867;0
995;0
951;0
915;0
955;0
033;4
853;4
223;0
452;0
077;0
823;4
983;0
247;0
752;4
817;4
331;0
441;0
213;0
063;0
611;4
545;0
922;0
992;0
351;0
966;0
731;0
514;4
111;0
759;0
626;4
079;0
846;4
517;0
473;0
144;0
934;0
994;0
315;4
054;4
361;0
715;0
906;0
621;4
841;0
725;0
251;0
546;0
751;4
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;8
256;4
761;8
923;0
933;0
997;0
143;0
866;0
555;0
914;0
034;0
062;0
733;0
811;0
863;0
714;0
516;0
113;4
821;0
909;0
762;0
471;0
771;0
246;0
757;0
579;4
623;0
224;0
133;4
932;4
996;0
243;0
967;0
314;0
055;0
362;0
984;0
907;0
257;0
476;0
834;0
614;8
843;0
953;0
071;0
732;0
112;0
332;0
756;0
962;0
812;0
981;4
232;0
035;0
644;0
643;0
122;0
978;0
511;0
721;0
414;8
524;4
114;0
726;0
342;0
572;0
563;0
428;4
233;0
975;0
123;4
972;0
421;4
533;0
151;0
115;0
973;0
723;0
422;4
041;24
958;0
252;0
944;0
722;0
525;0
612;0
642;4
513;0
561;4
571;0
121;0
431;4
253;0
945;4
544;0
069;0
613;0
641;0
724;0
971;0
532;4
043;4
946;0
153;0
068;0
341;0
512;4
117;0
152;4
515;4
116;4
518;0
531;0
042;4
427;0
631;0
234;0
025;8
434;0
977;0
011;28
426;4
045;4
632;4
435;0
954;0
453;0
012;8
411;4
066;0
976;0
551;0
354;0
566;0
838;0
425;4
537;0
044;0
463;0
575;0
521;4
957;0
903;0
741;0
941;0
713;0
322;4
075;0
618;0
727;0
024;0
536;0
633;4
031;16
567;0
839;0
526;0
424;4
047;4
913;0
412;8
065;0
249;0
432;4
574;0
831;0
942;0
462;0
323;0
956;0
619;0
728;0
023;0
553;0
634;0
564;0
974;0
535;0
712;0
912;0
413;8
064;0
046;4
646;0
022;4
527;8
248;0
433;0
461;0
573;0
124;0
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;8
231;0
562;0
429;0
